Name,Phone,City,Country
Trung,036 7777 219,Kon Tum,Vietnam
Yael,0500 264945,Luzzara,Algeria
Avye,(024) 7074 9556,Poucet,Turkey
Bevis,(01981) 173459,Santa Fiora,Sweden
Dante,056 0140 5137,Fort Smith,Swaziland
Steven,0800 475717,Broken Arrow,Ethiopia
Eliana,056 3766 0265,Piancastagnaio,Falkland Islands
Melinda,055 8307 6160,Varena,Finland
Alexis,0500 831012,Stratford,Lebanon
Yen,(0111) 160 2121,Hachy,Bahrain
Mariam,056 1566 1231,Evere,Australia
Lester,07624 467143,Afsnee,Saint Kitts and Nevis
Jana,(01765) 918915,Torella del Sannio,Åland Islands
Rhona,(01881) 67194,Meerle,Guernsey
Hayden,0845 46 48,St. Albert,Trinidad and Tobago
Norman,0959 092 5346,Arviat,Slovenia
Gray,076 2931 8833,Palanzano,Tonga
Salvador,(0191) 133 1171,Carlton,"Virgin Islands, British"
Leigh,(016977) 8242,Cerrillos,Lithuania
Shea,0845 46 46,Cambridge,Sint Maarten
Harlan,0975 666 2626,Baltimore,Dominican Republic
Isaac,0800 1111,Klagenfurt,Bhutan
Danielle,0321 317 9311,Cerro Navia,Cuba
Keegan,(0115) 568 0126,Dollard-des-Ormeaux,Saudi Arabia
Colt,0919 675 1095,Ereğli,Falkland Islands
Hamish,0800 408340,Virelles,Cape Verde
Chanda,(016977) 4339,Norfolk County,Haiti
Tobias,(016977) 9997,Oliver,Honduras
Jaime,(0141) 065 6280,Scheggino,Reunion
Sonia,055 2067 1458,Noville,Belgium
Cain,0845 46 48,San Clemente,South Georgia and The South Sandwich Islands
Rhonda,056 9714 8130,Santa Vittoria in Matenano,"Saint Helena, Ascension and Tristan da Cunha"
Scarlett,(020) 5596 6802,St. John's,Isle of Man
Colleen,0837 433 0942,Verrayes,Bahamas
Alexa,(01463) 74427,Mantova,Benin
Ferris,07084 939425,North Dum Dum,Monaco
Duncan,0919 320 6184,Malartic,Russian Federation
Phyllis,0845 46 40,Lalbahadur Nagar,Mali
Lynn,070 4366 6283,Irricana,Holy See (Vatican City State)
Chelsea,(01799) 159371,Portland,Maldives
Bell,0338 511 3917,Bouge,Saint Kitts and Nevis
Wanda,0800 584724,Felitto,"Congo, the Democratic Republic of the"
Shana,(0121) 180 0206,Saint Andrew,Nigeria
Amos,056 8880 2628,Durg,Mexico
Carlos,0991 819 8237,Sooke,Malawi
Aubrey,(01248) 65555,Arnhem,Panama
Shaine,(028) 3197 9101,Weyburn,South Sudan
Jocelyn,(018885) 59602,Kano,Guadeloupe
Preston,0359 280 0818,Alkmaar,Bolivia
Oliver,0800 1111,Bunbury,Saint Pierre and Miquelon
Daniel,(016977) 2855,Calvera,Pakistan
Aubrey,0800 234957,Parbhani,Cambodia
Haley,0946 832 8129,Warwick,Dominica
Finn,0800 774 3937,Butte,Uzbekistan
Benjamin,(022) 0823 2114,Assebroek,France
Sheila,070 0142 5199,Leighton Buzzard,Montserrat
Daryl,(015167) 44652,Metz,Pitcairn Islands
Hilel,0500 747994,Nieuwkapelle,Indonesia
Sloane,(013218) 40310,Puntarenas,New Zealand
Tate,0800 092372,Penhold,Pitcairn Islands
Nayda,0800 658297,Tallahassee,Dominican Republic
Odessa,0845 46 45,Oxford County,Tokelau
Carlos,(020) 8610 2113,Rachecourt,Iran
Marshall,(0151) 441 7044,Nanton,Burundi
Dale,070 4419 8085,Inveraray,Tunisia
Avram,0389 343 5377,Tours,Kuwait
Darryl,0845 46 42,Comox,Belgium
Bree,0800 201 4770,Wels,Australia
Joel,0902 248 0640,Metairie,French Guiana
Macaulay,0500 381437,Penticton,Guinea
Zenia,(012711) 89722,Leuze,Singapore
Kieran,055 1397 5034,Delta,Luxembourg
Paula,(0117) 159 0723,Covington,Norway
Hedy,0969 986 4824,Subiaco,Sierra Leone
Ariel,(01149) 52289,St. Albert,"Palestine, State of"
Trevor,(016977) 4312,Massimino,Eritrea
Sacha,(01292) 01755,Wichita,Guam
Mechelle,(016977) 8222,Freising,Argentina
Ulla,0800 830581,Enschede,Brunei
Eagan,(01931) 69082,West Jordan,Maldives
Casey,070 4401 8701,Milestone,Sri Lanka
Adam,056 5193 7195,Barbania,New Zealand
Giacomo,07759 479734,Kirkby Lonsdale,Kenya
Marsden,(029) 6931 6134,Mesa,Tuvalu
Malachi,(016977) 7021,María Elena,Pakistan
Sonya,0845 46 44,Giustino,Poland
Audra,076 7433 1944,Berloz,Saint Kitts and Nevis
Berk,0800 669 1602,Mannekensvere,South Sudan
Kasimir,07624 021655,Hunstanton,Cambodia
Ethan,0845 46 44,Göteborg,Vanuatu
Heidi,076 0472 8531,Francofonte,Cyprus
Keiko,(01172) 22144,Vastogirardi,Wallis and Futuna
Graiden,076 5650 6504,Moustier-sur-Sambre,Netherlands
Yvette,0800 081 8287,Amritsar,Liechtenstein
Macy,0500 248464,Taunusstein,Tanzania
Barbara,(011597) 72886,Shippagan,Bahrain
Phillip,0395 769 3452,Montgomery,Greenland
Rose,(010544) 17978,Eyemouth,Kyrgyzstan
Haviva,(0181) 138 2220,Falkirk,Bahamas
Stacey,(010866) 90769,Montigny-lès-Metz,Brazil
